OBJECTID,LOC_ID,FAC_TYP,FAC_SVC,PUB_PKG,SPACE_NO,COMMENTS,RESERV,FEE,HRLY_RATE,DLY_MAX,TM_LMT,RATE_NOTES,MO_RATE,MO_RATE_NOTES,VAL,VAL_TM,VAL_NOTES,NGHT_WKND_RATE,NGHT_WKND_RATE_NOTES,EVENT_FEE,EVENT_NOTES,HTL_FREE,GUEST_RATE,LOT_CTRL,OWN,PKG_OP,CLV_ENF,USE_TYP,MTR_LOT_NUM,LAST_UPDATE,LAST_EDITOR,SHAPE_Length,SHAPE_Area,RV TAG,Report No,SIDE,TIME_LIMIT,DAYS,LOT,ZONE_TYPE,HOURS,LMT_DISPLAY,FLAG,Fiscal year,Location 1
100,,Parallel,,,2,,,,$ 2.00 per Hour,,,,,,,,,,,,,,,,,,,,,02/20/2014 12:00:00 AM,JHillhouse,66.8228798718611,,On Street parking,4,S,4HR,S-S,151,Premium,8am-10pm,"4HR, S-S 8am-10pm",Existing,2016,"100 E. Ogden
Las Vegas, Nevada
(36.172346, -115.144464)"
253,257,Surface,AM/PM lot customers,N,10,,Customers,N,,,,,,,N/A,,,,,,,N/A,,,,N/A,NO,Retail,,,,601.568130492139,13189.1436705682,,,,,,,,,,,2017,"333 E Charleston Blvd
Las Vegas, Nevada
(36.158911, -115.149165)"
197,200,Surface,Office,N,14,,Customers,N,,,,,,,N/A,,,,,,,N/A,,,,,NO,Office,,,,234.654447923597,3386.87411104592,,,,,,,,,,,2017,"618 S 6th St
Las Vegas, Nevada
(36.162236, -115.143792)"
428,434,Surface,Kappellini Medical,N,10,,Customers,N,,,,,,,N/A,,,,,,,N/A,,None,,,NO,Office,,,,388.909226720965,7248.66564171644,,,,,,,,,,,2017,"900 S Main St
Las Vegas, Nevada
(36.16188, -115.152138)"
95,,Parallel,,,7,,,,$ 1.00 per Hour,,,,,,,,,,,,,,,,,,,,,04/14/2015 12:00:00 AM,JHillhouse,200.39509407888,,On Street parking,4,N,10HR,M-F,129,Supplemental,8am-6pm,"10HR, M-F 8am-6pm",Existing,2016,"500 Gass
Las Vegas, Nevada
(36.161065, -115.145937)"
602,609,Garage,City Hall Garage,Y,730,,,Y,1.5,9,,,35,,Y,2,1st 2 hours free with Validation,,,3,,NA,,,City of Las Vegas,City of Las Vegas,Y,Government,,,,1170.65761919197,82611.5618337479,City Parking Structures,1,,,,,,,,,2017,"500 S. Main St
Las Vegas, Nevada
(36.166822, -115.149518)"
157,160,Surface,Apartments - Alpine,N,25,,Residents,N,,,,,,,,,,,,,,N/A,,,,,NO,Residential,,,,377.384778251958,6896.25336797155,,,,,,,,,,,2017,"209 N 9th St
Las Vegas, Nevada
(36.168798, -115.135149)"
373,379,Surface,Main St. Station Valet,N,418,,Valet,N,,,,,,,N/A,,,,,,,N/A,,,,,NO,Gaming,,,,2643.23233657089,184098.757677067,,,,,,,,,,,2017,"100 N Main St
Las Vegas, Nevada
(36.172529, -115.145889)"
616,623,Surface,Llama Lot,Y,372,Llama Lot,,Y,1,5,,,30,,,,,$5 Flat nights and weekends,,5,Fee varies $5.00 -$30 depending on event.,N,,Metered,City of Las Vegas,City of Las Vegas,Y,,161,10/21/2015 12:00:00 AM,JHillhouse,1376.46101512976,116320.41605561,Private Lots-City Run,3,,,,,,,,,2017,"902 Fremont
Las Vegas, Nevada
(36.167084, -115.13566)"
457,463,Surface,Law Office - William Freedman,N,6,,Customers,N,,,,,,,N/A,,,,,,,N/A,,,,,NO,Office,,,,456.54571782599,4268.86533520488,,,,,,,,,,,2017,"411 S 6th St
Las Vegas, Nevada
(36.164923, -115.142017)"
478,484,Surface,Apartments,N,5,Reserved Spaces,Residents,N,,,,,,,,,,,,,,N/A,,,,,NO,Residential,,,,293.083456934985,3175.38406162948,,,,,,,,,,,2017,"401 N 7th St
Las Vegas, Nevada
(36.172058, -115.136035)"
201,204,Surface,Office,N,4,,Customers,N,,,,,,,N/A,,,,,,,N/A,,,,,NO,Office,,,,196.772959366623,2419.00429739678,,,,,,,,,,,2017,"616 S 8th St
Las Vegas, Nevada
(36.161263, -115.141492)"
259,263,Surface,Vacant 1200 S. 4th St.,N,60,277-7535 (looks Vacant),,Y,,,,,,,,,,,,5,,,,,,Pete's Parking,N,Other,,,,626.76225199704,20574.8560814409,,,,,,,,,,,2017,"1200 S 4th St
Las Vegas, Nevada
(36.157239, -115.149975)"
156,,Parallel,,,7,,,,$ 1.00 per Hour,,,,,,,,,,,,,,,,,,,,,04/21/2015 12:00:00 AM,JHillhouse,175.372882103106,,On Street parking,4,S,10HR,M-F,200,,8am-6pm,"10HR, M-F 8am-6pm",Existing,2017,"800 E. Carson
Las Vegas, Nevada
(36.166584, -115.137989)"
54,,Parallel,,,2,,,,$ 2.00 per Hour,,,,,,,,,,,,,,,,,,,,,04/07/2015 12:00:00 AM,JHillhouse,45.9221008199071,,On Street parking,4,W,4HR,M-F,38,Premium Weekdays,8am-6pm,"4HR, M-F 8am-6pm",Existing,2016,"400 S. 4th
Las Vegas, Nevada
(36.165867, -115.144328)"
365,369,Surface,Strip Mall,N,15,,Customers,N,,,,,,,N/A,,,,,,,N/A,,,,,NO,Retail,,,,436.01948478832,2919.76281383569,,,,,,,,,,,2017,"612 E Carson Ave
Las Vegas, Nevada
(36.167235, -115.139434)"
73,73,Surface,Myers Market / White Cross Drugs,N,69,,Customers,N,,,,,,,N/A,,,,,,,N/A,,,,,NO,Retail,,,,1130.44602232653,34208.7004462614,,,,,,,,,,,2017,"1711 S Main St
Las Vegas, Nevada
(36.15093, -115.15412)"
581,588,Garage,Vacant,N,177,3 levels,Vacant,N,,,,,,,N/A,,,,,,,N/A,,,,,NO,Gaming,,,,564.817774932838,19359.2628402493,,,,,,,,,,,2017,"2417 S Las Vegas Blvd
Las Vegas, Nevada
(36.14454, -115.156694)"
36,36,Surface,Apartments - Avalon,N,23,,Tenants,N,,,,,,,,,,,,,,N/A,,,,,NO,Residential,,,,406.811265610699,9094.45212408887,,,,,,,,,,,2017,"1400 S Casino Center Blvd
Las Vegas, Nevada
(36.154487, -115.152578)"
77,77,Surface,Denny's,N,7,,Customers,N,,,,,,,NA,,,,,,,NA,,None,,N/A,NO,Bar/Rest,,,,287.148816898593,4554.55538916991,,,,,,,,,,,2017,"1830 S Las Vegas Blvd
Las Vegas, Nevada
(36.149084, -115.15392)"
598,605,Surface,Clark County ,N,156,,Employees,N,,,,,,,NA,,,,,,,NA,,,Clark County,Clark County,,Government,,05/13/2014 12:00:00 AM,JHillhouse,2388.7641095347,80278.4966199543,,,,,,,,,,,2017,"500 S Grand Central Pkwy
Las Vegas, Nevada
(36.164948, -115.155618)"
126,128,Surface,Serratore Tax & Computer Inc.,N,3,,Employees,N,,,,,,,N/A,,,,,,,N/A,,,,,NO,Retail,,,,155.284783691974,923.731037227823,,,,,,,,,,,2017,"708 S 3rd St
Las Vegas, Nevada
(36.162825, -115.147758)"
501,507,Surf Dirt,Vacant Building,Y,110,"Private, Markings very faded",Employees,N,,,,,,,NA,,,,,5,,NA,,,,,N,Other,,,,779.965233167604,34998.9269672635,,,,,,,,,,,2017,"1001 S 1st St
Las Vegas, Nevada
(36.160551, -115.152174)"
605,612,Surf Dirt,First Friday,N,55,,,N,,,,,,,,,,,,,No event fee,NA,,,,,NO,Event,,,,611.980055761664,21997.317997314,,,,,,,,,,,2017,"1007 S Casino Center Blvd
Las Vegas, Nevada
(36.159786, -115.151017)"
32,,Parallel,,,7,,,,$ 2.00 per Hour,,,,,,,,,,,,,,,,,,,,,01/03/2017 12:00:00 AM,JHillhouse,353.4404397856,,On Street parking,4,W,4HR,S-S,102,Premium,8am-10pm,"4HR, S-S 8am-10pm",Existing,2016,"100 S. 6th
Las Vegas, Nevada
(36.168446, -115.139713)"
94,,Parallel,,,6,,,,$ 1.00 per Hour,,,,,,,,,,,,,,,,,,,,,04/14/2015 12:00:00 AM,JHillhouse,142.907487800675,,On Street parking,4,S,10HR,M-F,66,Supplemental,8am-6pm,"10HR, M-F 8am-6pm",Existing,2016,"300 E. Bonneville
Las Vegas, Nevada
(36.164413, -115.146727)"
17,,Angle,,,25,,,,$ 2.00 per Hour,,,,,,,,,,,,,,,,,,,,,04/14/2015 12:00:00 AM,JHillhouse,313.743797987771,,On Street parking,4,E,4HR,S-S,85,Premium,8am-10pm,"4HR, S-S 8am-10pm",Existing,2017,"100 S. 7th
Las Vegas, Nevada
(36.167652, -115.138786)"
56,56,Surface,Clark County Bar Assoc.,N,28,,Customers Only,N,,,,,,,N/A,,,,,,,N/A,,,,,NO,Office,,,,406.561831003086,8946.82352719433,,,,,,,,,,,2017,"725 S 8th St
Las Vegas, Nevada
(36.160001, -115.142318)"
339,343,Surface,Ideal Office City,N,19,,Customers & Employees,N,,,,,,,N/A,,,,,,,N/A,,None,,,NO,Retail,,,,485.344927969169,8645.14058991661,,,,,,,,,,,2017,"1200 S 3rd St
Las Vegas, Nevada
(36.157071, -115.15117)"
107,,Parallel,,,13,,,,$ 1.00 per Hour,,,,,,,,,,,,,,,,,,,,,12/27/2016 12:00:00 AM,JHillhouse,333.658896413171,,On Street parking,4,E,10HR,M-F,160,Supplemental,8am-6pm,"10HR, M-F 8am-6pm",Existing,2016,"100 N. 9th St
Las Vegas, Nevada
(36.16728, -115.136101)"
163,,Parallel,,,7,,,,$2.00 per Hour,,,,,,,,,,,,,,,,,,,,,07/19/2016 12:00:00 AM,JHillhouse,227.919331005669,,On Street parking,4,S,4HR,S-S,189,,8am-10pm,"4HR, S-S 8am-10pm",Existing,2016,"300 Bridger
Las Vegas, Nevada
(36.167904, -115.144445)"
70,,Parallel,,,2,,,,$ 2.00 per Hour,,,,,,,,,,,,,,,,,,,,,04/14/2015 12:00:00 AM,JHillhouse,110.842905625836,,On Street parking,4,N,4HR,S-S,52,Premium,8am-10pm,"4HR, S-S 8am-10pm",Existing,2017,"100 E. Ogden
Las Vegas, Nevada
(36.172346, -115.144464)"
332,336,Surface,Accent & A-1 Mechanical,N,26,,Customers,N,,,,,,,N/A,,,,,,,N/A,,,,N/A,NO,Retail,,,,505.35540979819,8642.54094969432,,,,,,,,,,,2017,"1205 S Commerce St
Las Vegas, Nevada
(36.157192, -115.154993)"
265,269,Surface,Auto Shop Brake Customers,N,20,,Customers,N,,,,,,,,,,,,,,N/A,,,,,NO,Retail,,,,477.839638246121,13068.0831647276,,,,,,,,,,,2017,"1132 S Las Vegas Blvd
Las Vegas, Nevada
(36.157433, -115.148449)"
318,322,Surface,Offices - 720 E. Charleston,N,20,,Customers Only,N,,,,,,,N/A,,,,,,,N/A,,,,,NO,Office,,,,471.390028189587,8759.55072622107,,,,,,,,,,,2017,"720 E Charleston Blvd
Las Vegas, Nevada
(36.158846, -115.143846)"
13,13,Garage,City Center,Y,564,,Public & Employees,Y,2.5,15,4,4 hr max Mon-Fri 8-6,,,N,,,,,,,NA,,Meter and Gate,City of Las Vegas,City of Las Vegas,Y,Office,71,12/13/2016 12:00:00 AM,Jhillhouse,1026.38957439086,55703.5043195611,City Parking Structures,1,,,,,,,,,2017,"455 S 3rd St
Las Vegas, Nevada
(36.166313, -115.145491)"
125,,Parallel,,,7,,,,$ 1.00 per Hour,,,,,,,,,,,,,,,,,,,,,04/14/2015 12:00:00 AM,JHillhouse,248.812804799104,,On Street parking,4,N,10HR,M-F,159,Supplemental,8am-6pm,"10HR, M-F 8am-6pm",Existing,2016,"500 E. Bonneville
Las Vegas, Nevada
(36.163399, -115.144398)"
384,390,Surface,X-Press Business Services,N,34,,Customers,N,,,,,,,N/A,,,,,,,N/A,,,,,NO,Retail,,,,484.963180744092,14315.3848414534,,,,,,,,,,,2017,"716 S 10th St
Las Vegas, Nevada
(36.159119, -115.140001)"
149,,Angle,,,9,,,,$ 2.00 per Hour,,,,,,,,,,,,,,,,,,,,,01/03/2017 12:00:00 AM,JHillhouse,259.832151142546,,On Street parking,4,E,4HR,S-S,20,Premium,8am-10pm,"4HR, S-S 8am-10pm",Existing,2017,"200 S. 3rd
Las Vegas, Nevada
(36.168393, -115.144135)"
83,83,Surface,Rummel Motel,N,33,,Guests,N,,,,,,,N/A,,,,,,,N/A,,,,,NO,Hotel,,,,651.279300728077,13018.8646081611,,,,,,,,,,,2017,"1809 S Las Vegas Blvd
Las Vegas, Nevada
(36.149765, -115.153293)"
27,27,Surface,Residents of CCBS,N,15,Unstriped,Residents,N,,,,,,,N/A,,,,,,,N/A,,,,,NO,Residential,,,,271.872154709675,4419.45597808177,,,,,,,,,,,2017,"1316 S Casino Center Blvd
Las Vegas, Nevada
(36.155404, -115.15251)"
39,39,Surface,Big A Brake/A1 Auto,N,33,,Customers Only,N,,,,,,,,,,,,,,N/A,,,,,NO,Retail,,,,365.730514657392,6366.07394139432,,,,,,,,,,,2017,"1433 S Main St
Las Vegas, Nevada
(36.153726, -115.153928)"
614,621,Surface,DTC Lot,Y,125,"89 metered spaces, 125 total spaces including DOT parking",,Y,1,5,,24/7,,,,,,,,3,,NA,,Metered,City of Las Vegas,City of Las Vegas,Y,Retail,171,10/27/2015 12:00:00 AM,JHillhouse,1918.96317503123,136635.013508743,City Parking lots,2,,,,,,,,,2017,"300 N. Casino Center Blvd
Las Vegas, Nevada
(36.173852, -115.14197)"
15,,Angle,,,11,,,,$ 2.00 per Hour,,,,,,,,,,,,,,,,,,,,,04/07/2016 12:00:00 AM,JHillhouse,292.885765920239,,On Street parking,4,E,4HR,S-S,83,Premium,8am-10pm,"4HR, S-S 8am-10pm",Existing,2016,"100 N. 7th
Las Vegas, Nevada
(36.169314, -115.137695)"
287,291,Surface,Antique Store,N,8,,Customers Only,N,,,,,,,N/A,,,,,,,N/A,,,,N/A,NO,Retail,,,,341.008228171418,4278.18582118329,,,,,,,,,,,2017,"625 S Las Vegas Blvd
Las Vegas, Nevada
(36.162621, -115.144901)"
323,327,Surface,Vacant,N,12,,Guests,N,,,,,,,N/A,,,,,,,N/A,,,,,NO,Other,,,,413.579834606875,8576.1001092677,,,,,,,,,,,2017,"1201 S Las Vegas Blvd
Las Vegas, Nevada
(36.156951, -115.148609)"
531,537,Garage,Apartments - Luxury ,N,45,,Residents,N,,,,,,,,,,,,,,N/A,,,,,NO,Residential,,,,568.503775992461,20374.9250616597,,,,,,,,,,,2017,"322 S 7th St
Las Vegas, Nevada
(36.165003, -115.140515)"
58,58,Surface,Law Office,N,5,,Customers,N,,,,,,,N/A,,,,,,,N/A,,,,N/A,NO,Office,,,,205.361349020295,2635.13670798806,,,,,,,,,,,2017,"711 S 8th St
Las Vegas, Nevada
(36.160381, -115.142063)"
22,,Parallel,,,12,,,,$ 1.00 per Hour,,,,,,,,,,,,,,,,,,,,,01/03/2017 12:00:00 AM,JHillhouse,356.228063751899,,On Street parking,4,W,10HR,M-F,92,Supplemental,8am-6pm,"10HR, M-F 8am-6pm",Existing,2016,"800 S. 6th
Las Vegas, Nevada
(36.160391, -115.144997)"
194,197,Surface,Office Building (Vacant),N,10,,Customers,N,,,,,,,N/A,,,,,,,N/A,,,,,NO,Office,,,,445.751194647827,4433.46168216078,,,,,,,,,,,2017,"514 E Bonneville Ave
Las Vegas, Nevada
(36.163081, -115.143685)"
369,375,Surface,Century Link,N,28,,Employees,,,,,,,,N/A,,,,,,,N/A,,,,,NO,Office,,,,432.462292914607,10643.0572560978,,,,,,,,,,,2017,"514 E Bridger Ave
Las Vegas, Nevada
(36.166533, -115.141327)"
591,598,Surface,Carl's Jr,N,65,,Customers,N,,,,,,,N/A,,,,,,,N/A,,,,,NO,Bar/Rest,,,,855.506008096662,42158.1322848509,,,,,,,,,,,2017,"2001 S Las Vegas Blvd
Las Vegas, Nevada
(36.148169, -115.154279)"
550,556,Surface,Law Office - 500 S. 3rd,N,30,Sign - Spaces Available - Dawn 384-2854,Office Employees,Y,,,,,100,,,,,,,,,,,,,N/A,N,Office,,,,700.121477784034,16337.1045767902,,,,,,,,,,,2017,"515 S 3rd St
Las Vegas, Nevada
(36.165087, -115.146303)"
512,518,Surface,Law Office - Richard Reed,N,8,"Unstriped, Shares with F1",Clients & Employees,N,,,,,,,N/A,,,,,,,N/A,,,,,NO,Office,,,,218.692752383223,2979.29827165169,,,,,,,,,,,2017,"711 S 6th St
Las Vegas, Nevada
(36.161415, -115.144322)"
52,,Parallel,,,8,,,,$ 2.00 per Hour,,,,,,,,,,,,,,,,,,,,,01/03/2017 12:00:00 AM,JHillhouse,299.559640475384,,On Street parking,4,W,4HR,M-F,36,Premium Weekdays,8am-6pm,"4HR, M-F 8am-6pm",Existing,2016,"500 S. 4th
Las Vegas, Nevada
(36.164857, -115.144985)"
41,,Parallel,,,10,,,,$ 2.00 per Hour,,,,,,,,,,,,,,,,,,,,,04/07/2015 12:00:00 AM,JHillhouse,342.44763492237,,On Street parking,4,W,4HR,M-F,25,Premium Weekdays,8am-6pm,"4HR, M-F 8am-6pm",Existing,2016,"500 S. 3rd
Las Vegas, Nevada
(36.16557, -115.145999)"
29,,Parallel,,,10,,,,$ 1.00 per Hour,,,,,,,,,,,,,,,,,,,,,04/14/2015 12:00:00 AM,JHillhouse,301.541288317547,,On Street parking,4,E,10HR,M-F,99,Supplemental,8am-6pm,"10HR, M-F 8am-6pm",Existing,2017,"200 S. 6th
Las Vegas, Nevada
(36.167302, -115.14046)"
68,,Parallel,,,5,,,,$ 2.00 per Hour,,,,,,,,,,,,,,,,,,,,,04/14/2015 12:00:00 AM,JHillhouse,105.618763096235,,On Street parking,4,S,4HR,S-S,107,Premium,8am-10pm,"4HR, S-S 8am-10pm",Existing,2017,"600 E. Ogden
Las Vegas, Nevada
(36.169883, -115.138749)"
537,543,Surface,Golden Gate,Y,84,,Guests,Y,1,,,,,,N,,,,,,,N,,,,Skidata,NO,Gaming,,08/05/2014 12:00:00 AM,DPozdol,739.939152074897,32490.6734484233,,,,,,,,,,,2017,"217 S Main St
Las Vegas, Nevada
(36.170108, -115.14738)"
117,,Parallel,,,9,,,,$ 1.00 per Hour,,,,,,,,,,,,,,,,,,,,,04/07/2015 12:00:00 AM,JHillhouse,361.126948892118,,On Street parking,4,W,10HR,M-F,89,Supplemental,8am-6pm,"10HR, M-F 8am-6pm",Existing,2017,"400 S. 7th
Las Vegas, Nevada
(36.16456, -115.140806)"
121,123,Surface,Law Office - Koppe & Koppe & Bunker Law firm,N,15,Private,Clients & Employees,N,,,,,,,N/A,,,,,,,N/A,,,,,NO,Office,,,,502.691427428055,4950.76040541683,,,,,,,,,,,2017,"711 S 4th St
Las Vegas, Nevada
(36.162369, -115.146614)"
97,99,Surface,Various,N,21,,Employees & Visitors,N,,,,,,,N/A,,,,,,,N/A,,,,,NO,Other,,,,380.482547139132,7024.81767498127,,,,,,,,,,,2017,"231 S 3rd St
Las Vegas, Nevada
(36.168171, -115.144276)"
398,404,Surface,Godfathers Bail Bonds,N,11,,Clients & Employees,N,,,,,,,,,,,,,,,,,,N/A,,Retail,,,,295.332317311529,2776.62059292466,,,,,,,,,,,2017,"726 S Casino Center Blvd
Las Vegas, Nevada
(36.162806, -115.149322)"
106,,Parallel,,,5,,,,$ 2.00 per Hour,,,,,,,,,,,,,,,,,,,,,04/14/2015 12:00:00 AM,JHillhouse,140.710081376524,,On Street parking,4,N,4HR,S-S,51,Premium,8am-10pm,"4HR, S-S 8am-10pm",Existing,2016,"200 E. Ogden
Las Vegas, Nevada
(36.171875, -115.143304)"
205,208,Surface,Law Office- Robert Apple,N,5,,Customers,N,,,,,,,N/A,,,,,,,N/A,,,,N/A,NO,Office,,,,178.431810231363,1970.47680042758,,,,,,,,,,,2017,"623 S 8th St
Las Vegas, Nevada
(36.161235, -115.141509)"
43,43,Surface,Motel,N,26,,Residents,N,,,,,,,N/A,,,,,,,N/A,,,,,NO,Hotel,,,,394.726380384918,7227.36452960191,,,,,,,,,,,2017,"1520 S Casino Center Blvd
Las Vegas, Nevada
(36.152544, -115.152727)"
564,571,Surface,Wells Fargo Bank,Y,9,,Customers,N,,,,,,,N/A,,,,,,,N/A,,None,,,NO,Retail,,,,472.425255345174,13635.4828268176,,,,,,,,,,,2017,"411 E Bonneville Ave
Las Vegas, Nevada
(36.163771, -115.145217)"
243,246,Surface,Business Plaza,N,26,Private property posted,Customers,N,,,,,,,N/A,,,,,,,N/A,,,,,NO,Office,,,,776.475775866429,9367.63262408713,,,,,,,,,,,2017,"601 E Charleston Blvd
Las Vegas, Nevada
(36.158881, -115.145404)"
567,574,Garage,Stratosphere,Y,1681,,,N,,,,,,,N/A,,,,,,,N/A,,,,,NO,Gaming,,,,973.157063077774,54324.2927036452,,,,,,,,,,,2017,"2121 Fairfield Ave
Las Vegas, Nevada
(36.146564, -115.158217)"
275,279,Surface,Nevada Brake & Auto,N,20,Unstriped - Approx 20 spaces,Customers,N,,,,,,,N/A,,,,,,,N/A,,,,,NO,Retail,,,,370.170000856509,8493.52122950551,,,,,,,,,,,2017,"1309 S Commerce St
Las Vegas, Nevada
(36.155757, -115.155132)"
